编号,状态,工号,真名,开单工程,开单时间,修改人,真名,修改时间,发现站点,发现时间,责任工程,停机设备,停机机种,停机站点,停机原因,通知生产人员,通知制程人员,异常描述,受害开始时间,受害结束时间,受害批次数,异常批次/基板,复机条件,绝对不良,调查报告,最新批注,生产领班签核,生产签字时间,Recipe确认人员,Recipe关闭人员,责任工程签字,工程签字时间,是否拒签,拒签理由,复机单号,复机申请人,真名,申请时间,修改人,真名,修改时间,责任单位对策说明,先行lot结果说明,部分复机,部分复机设备,部分复机机种,部分复机站点,工程品质签复,品质签复时间,生产领班签复,生产签复时间,是否拒签,拒签理由,复机单号,复机申请人,真名,申请时间,修改人,真名,修改时间,责任单位对策说明,先行lot结果说明,部分复机,部分复机设备,部分复机机种,部分复机站点,工程品质签复,品质签复时间,生产领班签复,生产签复时间,是否拒签,拒签理由,
TEA-A6I-64,（停机）待生产签核,admin,邓肯的,QC,,,,,1,,PVD,1,1,1,1,1,1,1,,,None,,数据更新之后,是,1.png/3.jpg/,111,/,,,,/,,否,,
TEA-A6I-63,（停机）待生产签核,admin,邓肯的,QC,,,,,1,,CVD,1,1,1,1,1,1,1,,,,,1,是,,,/,,,,/,,否,,
TEA-A6I-62,（停机）待责任工程签核,00002,1,QC,,,,,1,,PVD,1,1,1,1,1,1,1,,,None,,1,否,,,/,,,,/,,否,,
TEA-A6I-61,（停机）待生产签核,admin,邓肯的,QC,,,,,1,,DRY,1,1,1,1,1,1,1,,,,,1,是,,,/,,,,/,,否,,
TEA-A6I-60,（停机）待责任工程签核,admin,邓肯的,QC,,,,,1,,CVD,1,1,1,1,1,1,1,,,,,1,否,,,/,,,,/,,否,,
TEA-A6I-59,（停机）待生产签核,admin,邓肯的,QC,,,,,1,,CVD,1,1,1,1,1,1,1,,,,,1,是,,,/,,,,/,,否,,
TEA-A6I-58,（停机）待责任工程签核,admin,邓肯的,QC,,admin,邓肯的,,1,,CVD,1,1,1,11111111,1,1,1,,,,,1,否,,,/,,,,/,,否,,
TEA-A6I-57,（停机）待生产签核,admin,邓肯的,QC,,,,,1,,CVD,11,1,1,1,1,1,1,,,,,1,是,,,/,,,,/,,否,,
TEA-A6I-56,（停机）待责任工程签核,admin,邓肯的,QC,,,,,1,,CVD,1,1,1,1,1,1,1,,,,,1,否,,,/,,,,/,,否,,
TEA-A2C-55,（复机）完成,00001,qqq,CVD,,,,,1,,PVD,1,1,1,1,1,1,1,,,None,,1,否,,,/,,,,/,,否,,
TEA-A2C-54,（停机）待生产签核,00001,qqq,CVD,,,,,22,,PHO,2,2,2,2,2,2,2,,,,,2,否,1.gif/2.gif/,,/,,,,/,,否,,
TEA-A6I-53,（复机）待生产签核,admin,邓肯的,QC,,00001,qqq,,99999999999999,,CVD,99999999999999,99999999999999,99999999999999,99999999999999,1,1,99999999999999,,,None,,99999999999999,否,ycy.png/logo.png/lantern-ubuntu.html/,111111111,00001/qqq,,None,None,00001/qqq,,否,,50,00001,qqq,,,,,2,2,是,2,2,2,/,,00001/qqq,,否,,49,00001,qqq,,00001,qqq,,11,11,是,11,11,11,00001/qqq,,00001/qqq,,否,,
TEA-A2P-52,（复机）待生产签核,admin,邓肯的,QC,,,,,1,,CVD,1,1,1,1,1,1,1,,,None,,1,是,4.gif/,111,00001/qqq,,None,None,/,,否,,51,00001,qqq,,admin,邓肯的,,1,1,否,None,None,None,00001/qqq,,00002/1,,是,111111,
TEA-A2P-51,（复机）待生产签核,admin,邓肯的,QC,,admin,邓肯的,,1,,CVD,1,1,1,1,1,1,1,,,None,,1,是,,,/,,,,/,,否,,
TEA-A2P-46,（停机）待生产签核,00001,qqq,PVD,,00001,qqq,,1,,MFG,1,1,1,1,1,1,1,,,1,1,1,否,,,/,,,,/,,否,,
